# Goxel 0.11.0
# One line per voxel
# X Y Z RRGGBB
0 0 0 37946e
1 0 0 37946e
2 0 0 37946e
3 0 0 37946e
4 0 0 37946e
5 0 0 37946e
6 0 0 37946e
7 0 0 37946e
8 0 0 37946e
9 0 0 37946e
10 0 0 37946e
11 0 0 37946e
12 0 0 37946e
13 0 0 37946e
14 0 0 37946e
15 0 0 37946e
0 1 0 37946e
1 1 0 37946e
2 1 0 37946e
3 1 0 37946e
4 1 0 37946e
5 1 0 37946e
6 1 0 37946e
7 1 0 37946e
8 1 0 37946e
9 1 0 37946e
10 1 0 37946e
14 1 0 37946e
15 1 0 37946e
0 2 0 37946e
1 2 0 37946e
6 2 0 37946e
7 2 0 37946e
9 2 0 37946e
10 2 0 37946e
11 2 0 37946e
12 2 0 37946e
13 2 0 37946e
14 2 0 37946e
15 2 0 37946e
0 3 0 37946e
1 3 0 37946e
0 4 0 37946e
1 4 0 37946e
0 5 0 37946e
1 5 0 37946e
0 6 0 37946e
1 6 0 37946e
0 7 0 37946e
1 7 0 37946e
0 8 0 37946e
1 8 0 37946e
0 9 0 37946e
1 9 0 37946e
0 10 0 37946e
1 10 0 37946e
0 11 0 37946e
1 11 0 37946e
0 12 0 37946e
1 12 0 37946e
0 13 0 37946e
1 13 0 37946e
0 14 0 37946e
1 14 0 37946e
0 15 0 37946e
1 15 0 37946e
6 15 0 ac3232
7 15 0 ac3232
8 15 0 ac3232
9 15 0 ac3232
10 15 0 ac3232
11 15 0 ac3232
3 0 1 306082
4 0 1 306082
5 0 1 306082
6 0 1 306082
1 1 1 306082
2 1 1 306082
3 1 1 306082
4 1 1 306082
5 1 1 306082
6 1 1 306082
7 1 1 306082
8 1 1 306082
1 2 1 306082
2 2 1 306082
3 2 1 306082
4 2 1 306082
5 2 1 306082
6 2 1 306082
7 2 1 306082
8 2 1 306082
0 3 1 306082
1 3 1 306082
2 3 1 306082
3 3 1 306082
4 3 1 306082
5 3 1 306082
6 3 1 306082
7 3 1 306082
8 3 1 306082
9 3 1 306082
0 4 1 306082
1 4 1 306082
2 4 1 306082
3 4 1 306082
4 4 1 306082
5 4 1 306082
6 4 1 306082
7 4 1 306082
8 4 1 306082
9 4 1 306082
0 5 1 306082
1 5 1 306082
2 5 1 306082
3 5 1 306082
4 5 1 306082
5 5 1 306082
6 5 1 306082
7 5 1 306082
8 5 1 306082
9 5 1 306082
0 6 1 306082
1 6 1 306082
2 6 1 306082
3 6 1 306082
4 6 1 306082
5 6 1 306082
6 6 1 306082
7 6 1 306082
8 6 1 306082
9 6 1 306082
1 7 1 306082
2 7 1 306082
3 7 1 306082
4 7 1 306082
5 7 1 306082
6 7 1 306082
7 7 1 306082
8 7 1 306082
1 8 1 306082
2 8 1 306082
3 8 1 306082
4 8 1 306082
5 8 1 306082
6 8 1 306082
